"429,2125 - 429,9875",Cywilne,,FM,"12,5","Sieci dyspozytorskie - [simplex, duosimplex, duplex] - odst, -10 MHz"
" 430,0000 - 439,9875",Cywilne,A,,,Pasmo Amatorskie 70cm
"440,0000 - 446,0000",Rządowe,,,,Zapisane w krajowej tablicy przeznaczeń częstotliwości
"458,3250 - 459,0000",Cywilne,,FM,"12,5","""Sieć trunkingowa TP S,A, """"Radio-Net"" (operator sieci ""UNI-Net""), Duosimplex +10MHz""
"
"446,00625 - 446,09375",Cywilne,A,FM,"12,5",Radiotelefony PMR446
"446,1000 - 448,0000",Rządowe,,,,Zapisane w krajowej tablicy przeznaczeń częstotliwości
"448,0000 - 450,0000",Cywilne,,FM,"12,5","Sieci dyspozytorskie, firmy ochrony mienia, transmisja danych itp, [simplex]"
"450,0000 - 452,0000",Rządowe,,FM,25,"Pasmo MSWiA - Policja, Straż Pożarna, itp, Odstęp 10 MHz"
"452,0000 - 452,5000",Rządowe,,,,"Wojsko, odstęp 10 MHz"
"452,5000 - 457,0000",Cywilne,,FM,25,"Orange - NMT450, CDMA, Uplink (downlink +10 MHz)"
"457,0000 - 458,3125",Cywilne,,FM,"12,5",
"459,0000 - 459,7000",Cywilne,,FM,"12,5","Sieci dyspozytorskie, firmy ochrony mienia, komunalne, radiolinie stacji radiowych, itp, [simplex, duosimplex,duplex] + 10 MHz"
"459,7000 - 460,0000",Cywilne,,FM,"12,5","Dupleksowe sieci transmisji danych  - krajowe i regionalne, Uplink (downlink - 10MHZ)"
"460,0000 - 462,0000",Rządowe,,FM,25,"Pasmo MSWiA - Policja, Straż Pożarna, itp, Odstęp 10 MHz"
"462,0000 - 462,5000",Rządowe,,,,"Wojsko, odstęp 10 MHz"
"462,5000 - 467,0000",Cywilne,,FM,25,"Orange - NMT450, CDMA, Downlink (uplink -10 MHz)"
"467,0000 - 468,3250",Cywilne,,FM,"12,5","Firmy Taxi, ochrony mienia, komunalne, kurierskie, budowlane, transportowe, trankingi komercyjne"
"468,3250 - 468,9875",Cywilne,,FM,"12,5","Sieć trunkingowa TP S,A, ""Radio-Net"" (operator sieci ""UNI-Net""), Duosimplex -10MHz"
"468,9875 - 469,1000",Rządowe,,,,"Zakres wykluczony z wydawanych, publicznych pozwoleń UKE"
"469,1000 - 469,7000",Cywilne,,FM,"12,5","Sieci dyspozytorskie, firmy ochrony mienia, komunalne, radiolinie stacji radiowych, itp, [simplex, duosimplex,duplex] - 10 MHz"
"469,7000 - 470,0000",Cywilne,,,,"Dupleksowe sieci transmisji danych  - krajowe i regionalne, Downlink (uplink - 10MHZ)"
"470,0000 - 646,0000",Cywilne,,,,Radiodyfuzja / Ruchoma
